vote_2020,age,gender,interest,state,household_income,hispanic,education,ideo5,vote_trump,vote_Biden,agegroup,race
Donald Trump,50,Female,Only now and then,WI,"$20,000 to $24,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,1,0,36 to 50,White
Donald Trump,32,Female,Some of the time,IL,"$90,000 to $94,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,21 to 35,White
Joe Biden,75,Female,Most of the time,TN,"Less than $14,999",Cuban,"Completed some college, but no degree",Conservative,0,1,66 to 80,White
Donald Trump,59,Male,Some of the time,OK,"$25,000 to $29,999",Not Hispanic,High school graduate,Very Conservative,1,0,51 to 65,White
Donald Trump,59,Female,Most of the time,WI,"$95,000 to $99,999",Not Hispanic,"Completed some college, but no degree",Very Conservative,1,0,51 to 65,White
Joe Biden,43,Male,Most of the time,NJ,"$75,000 to $79,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,36 to 50,White
Donald Trump,65,Female,Some of the time,IL,"$15,000 to $19,999",Not Hispanic,High school graduate,Conservative,1,0,51 to 65,White
Joe Biden,50,Female,Some of the time,NC,"$25,000 to $29,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,36 to 50,White
Donald Trump,64,Male,Most of the time,MI,"$35,000 to $39,999",Not Hispanic,Associate Degree,Moderate,1,0,51 to 65,White
Donald Trump,40,Male,Most of the time,CA,"$200,000 to $249,999",Mexican,Masters degree,Very Conservative,1,0,36 to 50,White
Donald Trump,49,Female,Some of the time,MI,"$50,000 to $54,999",Not Hispanic,Masters degree,Conservative,1,0,36 to 50,White
Donald Trump,68,Female,Most of the time,NJ,"$100,000 to $124,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,66 to 80,White
Joe Biden,81,Female,Some of the time,NY,"$55,000 to $59,999",Not Hispanic,High school graduate,Moderate,0,1,above 80,White
Donald Trump,49,Male,Some of the time,NC,"$40,000 to $44,999",Not Hispanic,High school graduate,Moderate,1,0,36 to 50,White
Donald Trump,74,Female,Most of the time,TX,"$50,000 to $54,999",Not Hispanic,High school graduate,Conservative,1,0,66 to 80,White
Joe Biden,31,Male,Most of the time,TN,"Less than $14,999",Not Hispanic,Completed some high school,Very Conservative,0,1,21 to 35,White
Joe Biden,68,Female,Some of the time,NY,"$85,000 to $89,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,66 to 80,White
Joe Biden,69,Female,Most of the time,MO,"$30,000 to $34,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,66 to 80,White
Joe Biden,52,Male,Some of the time,NJ,"$125,000 to $149,999",Not Hispanic,High school graduate,Moderate,0,1,51 to 65,White
Donald Trump,41,Female,Most of the time,NE,"$70,000 to $74,999",Mexican,"College Degree (such as B.A., B.S.)",Conservative,1,0,36 to 50,White
Joe Biden,68,Female,Most of the time,PA,"$30,000 to $34,999",Not Hispanic,High school graduate,Moderate,0,1,66 to 80,White
Joe Biden,41,Female,Some of the time,IA,"$50,000 to $54,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,36 to 50,White
Joe Biden,49,Female,Most of the time,MO,"$65,000 to $69,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,36 to 50,White
Donald Trump,36,Male,Most of the time,CO,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,1,0,36 to 50,White
Donald Trump,67,Female,Most of the time,TN,"$50,000 to $54,999",Not Hispanic,Associate Degree,Conservative,1,0,66 to 80,White
Donald Trump,45,Male,Most of the time,CA,"$250,000 and above",Not Hispanic,Doctorate degree,Very Liberal,1,0,36 to 50,White
Joe Biden,71,Female,Most of the time,OH,"$125,000 to $149,999",Other Hispanic,Associate Degree,Moderate,0,1,66 to 80,White
Joe Biden,58,Male,Some of the time,IN,"$90,000 to $94,999",Not Hispanic,Associate Degree,Conservative,0,1,51 to 65,White
Joe Biden,57,Male,Most of the time,MI,"$25,000 to $29,999",Not Hispanic,Associate Degree,Liberal,0,1,51 to 65,White
Donald Trump,54,Female,Most of the time,MI,"$15,000 to $19,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,51 to 65,White
Donald Trump,38,Female,Most of the time,WI,"$15,000 to $19,999",Not Hispanic,High school graduate,Very Conservative,1,0,36 to 50,other asian or pacific islander
Joe Biden,39,Female,Most of the time,CA,"$65,000 to $69,999",Mexican,Completed some high school,Moderate,0,1,36 to 50,Other race
Donald Trump,35,Male,Most of the time,FL,"$100,000 to $124,999",Not Hispanic,Masters degree,Very Liberal,1,0,21 to 35,White
Donald Trump,64,Female,Most of the time,FL,"$80,000 to $84,999",Other Hispanic,"Completed some college, but no degree",Conservative,1,0,51 to 65,Other race
Joe Biden,52,Male,Most of the time,VA,"$95,000 to $99,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,51 to 65,White
Joe Biden,57,Female,Only now and then,MN,"$125,000 to $149,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,51 to 65,White
Joe Biden,35,Male,Most of the time,WI,"$50,000 to $54,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Not Sure,0,1,21 to 35,White
Donald Trump,42,Female,Hardly at all,NC,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,36 to 50,White
Joe Biden,49,Female,Most of the time,TX,"$50,000 to $54,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,0,1,36 to 50,"Black, or African American"
Donald Trump,65,Male,Most of the time,VA,"$30,000 to $34,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,1,0,51 to 65,White
Donald Trump,56,Female,Some of the time,NC,"$35,000 to $39,999",Not Hispanic,High school graduate,Very Conservative,1,0,51 to 65,White
Donald Trump,42,Male,Most of the time,MA,"$125,000 to $149,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,1,0,36 to 50,White
Joe Biden,69,Male,Only now and then,MA,"$65,000 to $69,999",Not Hispanic,High school graduate,Very Liberal,0,1,66 to 80,White
Donald Trump,67,Female,Some of the time,GA,"$65,000 to $69,999",Not Hispanic,High school graduate,Conservative,1,0,66 to 80,White
Donald Trump,38,Female,Some of the time,DE,"$30,000 to $34,999",Ecuadorian,"Completed some college, but no degree",Moderate,1,0,36 to 50,White
Donald Trump,55,Male,Most of the time,TX,"$30,000 to $34,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,51 to 65,White
Donald Trump,45,Female,Most of the time,GA,"$20,000 to $24,999",Not Hispanic,"Completed some college, but no degree",Moderate,1,0,36 to 50,White
Donald Trump,42,Male,Some of the time,NY,"$200,000 to $249,999",Not Hispanic,Masters degree,Conservative,1,0,36 to 50,White
Donald Trump,35,Male,Most of the time,NY,"$125,000 to $149,999",Not Hispanic,Masters degree,Liberal,1,0,21 to 35,White
Donald Trump,55,Male,Some of the time,NY,"$95,000 to $99,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,51 to 65,White
Joe Biden,73,Male,Most of the time,PA,"$45,000 to $49,999",Not Hispanic,High school graduate,Liberal,0,1,66 to 80,White
Joe Biden,25,Female,Most of the time,DE,"Less than $14,999",Mexican,Doctorate degree,Very Liberal,0,1,21 to 35,White
Joe Biden,60,Male,Most of the time,SC,"$150,000 to $174,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,51 to 65,White
